name,degrees,description,speciality,qualification,vinmec_site,price_local,price_foreigner
Phạm Vũ Hiệp,Thạc sĩ,"Thạc sĩ, Bác sĩ Phạm Vũ Hiệp có 10 năm kinh nghiệm trong lĩnh vực Nội tiết – Đái tháo đường. Ông tốt nghiệp Đại học Y Hà Nội năm 2014 và Thạc sĩ Y khoa Đại học Y Hà Nội năm 2021.
Trong 1 thập niên trong nghề, Bác sĩ Phạm Vũ Hiệp có cơ hội làm việc và tích lũy kinh nghiệm tại Bệnh viện Tỉnh Vĩnh Phúc, Bệnh viện Nội tiết Trung Ương, Bệnh viện Bạch Mai và Đại học Y Hà Nội. Ông đã có một thời gian dài nghiên cứu chuyên sâu về các bệnh lý tuyến giáp – tuyến cận giáp (đặc biệt là lĩnh vực ung thư tuyến giáp).
Hiện tại, Thạc sĩ, Bác sĩ Phạm Vũ Hiệp đang giữ chức vụ là Bác sĩ Nội tiết - Bệnh lý tuyến Giáp - Bệnh viện Đa khoa Quốc tế Vinmec Times City","Nội tiết, Bệnh lý tuyến giáp","09/2008 – 09/2014: Bác sĩ đa khoa - Đại học Y Hà Nội
6/2015 – 7/2015: Chứng chỉ siêu âm tổng quát – Đại học Y Hà Nội 
9/2015 – 3/2016: Chứng chỉ chuyên khoa định hướng chuyên ngành Nội tiết - Bệnh viện Nội tiết Trung ương
5/2016 – 11/2016: Chứng chỉ chuyên khoa định hướng chuyên ngành Hồi sức cấp cứu - Đại học Y Hà Nội 
10/2019  - 11/2021: Thạc sỹ Y khoa – Chuyên ngành Nội Khoa - Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Dương Mạnh Cường,"Bác sĩ nội trú, Thạc sĩ","ThS.BSNT Dương Mạnh Cường tốt nghiệp chương trình Bác sĩ nội trú chuyên ngành Nội khoa tại Trường Đại học Y Hà Nội. Với nhiều năm kinh nghiệm học tập và làm việc trong lĩnh vực Nội tiết – Đái tháo đường và rối loạn chuyển hóa, bác sĩ Cường đặc biệt quan tâm đến các bệnh lý tuyến giáp, ung thư tuyến giáp, điều trị béo phì và các rối loạn nội tiết trong sinh sản...
Hiện nay, ThS.BSNT Dương Mạnh Cường là Bác sĩ Nội tiết tại Đơn nguyên Bệnh lý tuyến giáp, Bệnh viện Đa khoa Quốc tế Vinmec Times City.","Bệnh lý tuyến giáp, Nội tiết","09/2012 – 06/2018: Bác sĩ Y khoa (M.D.), Đại học Y Hà Nội.
09/2018 – 09/2021: Bác sĩ Nội trú và Chương trình Thạc sĩ (Chuyên ngành: Nội tiết), Đại học Y Hà Nội.
2021 – 2022:

Chứng chỉ Siêu âm Cơ bản, Bệnh viện Bạch Mai.

Chứng chỉ Chọc hút Tế bào Tuyến giáp bằng kim nhỏ, Bệnh viện Bạch Mai.
2023:
Chứng chỉ Hồi sức Cấp cứu Cơ bản (FCCS), Bệnh viện Đa khoa Quốc tế Vinmec.

Chứng chỉ Hồi sức Tim Phổi Cơ bản (BLS), Bệnh viện Đa khoa Quốc tế Vinmec.


Chứng chỉ Kỹ năng Giao tiếp trong Thăm khám Y khoa, Khoa Khoa học Sức khỏe, VinUniversity.",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Trần Thị Hoàng Anh,"Thạc sĩ, Bác sĩ nội trú","Tốt nghiệp chương trình bác sĩ nội trú trường đại học Y Hà Nội chuyên ngành nội khoa. Thạc sĩ, Bác sĩ nội trú Trần Thị Hoàng Anh đã có nhiều năm kinh nghiệm học tập và làm việc trong lĩnh vực Nội tiết - Đái tháo đường và rối loạn chuyển hóa; đặc biệt có thể mạnh chuyên môn bao trong điều trị các bệnh lý tuyến giáp như cường giáp, suy giáp, nhân tuyến giáp , ung thư tuyến giáp.. các bệnh lý rối loạn tuyến yên, tuyến thượng thận, đái tháo đường, rối loạn mỡ máu…
Hiện, ThS.BSNT Trần Thị Hoàng Anh là Bác sĩ Nội tiết, Đơn vị bệnh lý tuyến Giáp, Bệnh viện Đa khoa Quốc tế Vinmec Times City.",Nội tiết,"2011 - 2017: Chương trình Bác sĩ Đa khoa - Trường Đại học Y Hà Nội
2017 - 2020: Chương trình Bác sĩ nội trú - Trường Đại học Y Hà Nội
2019: Bảo vệ khóa luận Thạc sĩ y học - Trường Đại học Y Hà Nội chuyên ngành Nội - Nội tiết
2020: Khóa học đào tạo về theo dõi đường máu liên tục (CGM) và bơm Insulin
2020 - 2021: Khóa học siêu âm tuyến giáp và chọc hút tế bào tuyến giáp dưới hướng dẫn siêu âm tại Trường Đại học Y Hà Nội và Bệnh viện Bạch Mai",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Phòng khám Service Line Giáp 1,,,,,Bệnh viện ĐKQT Vinmec Times City,690000,690000
Phòng khám Service Line Giáp 2,,,,,Bệnh viện ĐKQT Vinmec Times City,690000,690000
Nguyễn Mạnh Tường,Bác sĩ chuyên khoa II,"BSCKII Nguyễn Mạnh Tường có 20 năm kinh nghiệm trong lĩnh vực Nội hô hấp. BSCKII Nguyễn Mạnh Tường đã học Cao học tại Bệnh viện Quân Y 103 và Chuyên khoa cấp 2 tại Trường Đại học Y Hà Nội, công tác tại Trường Đại học Y Thái Bình, Bệnh Viện Đại học Y Thái Bình. Ngoài ra, ông nguyên là Giảng viên trường Đại học Y Thái Bình
Hiện tại, BSCKII Nguyễn Mạnh Tường đang giữ chức vụ là Bác sĩ Nội hô hấp - Khoa Nội tổng hợp, Bệnh viện Đa khoa Quốc tế Vinmec Times City",Nội tổng quát,"09/2002: Tốt nghiệp Bác sĩ Đa khoa Trường Đại học Y Dược Thái Bình


11/2005: Tốt nghiệp Thạc sĩ chuyên ngành Nội hô hấp tại Học viện Quân Y 103


11/2022: Tốt nghiệp BSCKII tại Trường Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,440000,440000
Trịnh Ngọc Phát,"Thạc sĩ, Bác sĩ nội trú","Bác sĩ Trịnh Ngọc Phát là chuyên gia trong lĩnh vực Da liễu - Thẩm mỹ nội khoa. Bác sĩ Phát tốt nghiệp Bác sĩ nội trú và thạc sĩ Da liễu, hiện đang theo học chương trình Tiến sĩ Da liễu tại trường Đại học Y Hà Nội.
Bác sĩ Phát cũng tham gia nhiều khóa đào tạo ngắn hạn tại Áo, Pháp, Singapore và Nhật Bản và là thành viên của Hiệp hội Nghiên cứu Da liễu Nhật Bản và Hội Da liễu Việt Nam. Với đầy đủ các chứng chỉ trong điều trị bệnh da liễu (bệnh da chung, bệnh da dị ứng và tự miễn, bệnh da nhiễm trùng, bệnh da di truyền hiếm gặp, bệnh lây truyền qua đường tình dục) và thẩm mỹ da (chứng chỉ laser, chứng chỉ Tiêm chất làm đầy), bác sĩ Phát luôn không ngừng học hỏi để nâng cao chất lượng phục vụ khách hàng.
Bác sĩ Phát đã có nhiều nghiên cứu công bố trong và ngoài nước, cũng như tham gia các thử nghiệm lâm sàng đa trung tâm về các bệnh da khó. Bác sĩ Phát cũng đã tham gia báo cáo khoa học các hội nghị Nghiên cứu Da liễu thế giới, hội nghị Da liễu Châu Âu, Đông Nam Á, Đông Dương và các hội nghị Da liễu toàn quốc của Việt Nam. Tôn chỉ làm việc: Không ngừng học hỏi, không ngừng hoàn thiện bản thân để phục vụ khách hàng tốt hơn, mỗi người bệnh là một người thầy.",Da liễu,"2019 - 2022: Bác sĩ nội trú Da liễu tại Bệnh viện Da liễu Trung ương và trường Đại học Y Hà Nội
2019 - 2022: Thạc sĩ tại trường Đại học Y Hà Nội
2022: Chứng chỉ “Ứng dụng laser trong chuyên ngành da liễu”, chứng chỉ “Thực hành tốt thử thuốc trên lâm sàng (GCP)” - Bệnh viện Da liễu Trung ương
2023: Chứng chỉ “Tiêm chất làm đầy trong thẩm mỹ da” - Bệnh viện Da liễu Trung ương

1/2024 – 2/2024: Fellow da liễu tại Salzburg Open Medical Institute, Áo

2025 - Nay: Nghiên cứu sinh Da liễu, trường Đại học Y Hà Nội",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Trần Thị Minh Thùy,"Thạc sĩ, Bác sĩ nội trú","ThS. Bác sĩ Nội Trú Trần Thị Minh Thùy là chuyên gia trong lĩnh vực Da liễu – Thẩm mỹ nội khoa. Bác sĩ Thùy tốt nghiệp Bác sĩ đa khoa tại Đại học Y Hà Nội, tiếp tục tốt nghiệp bằng Giỏi Bác sĩ nội trú Da liễu và Thạc sĩ tại trường Đại học Y Hà Nội và Bệnh viện Da liễu Trung Ương, tu nghiệp tại Bệnh viện Mayo Clinic, Rochester, MN, Hoa Kỳ.
Bác sĩ Thùy là đại diện duy nhất của Việt Nam đạt học bổng Leadership International Workshop Scholarship của Hiệp hội Da liễu Mỹ, đạt học bổng Global Education Award của Hiệp hội Da liễu thế giới, Báo cáo tại hội nghị Da liễu Thế giới, thành viên của Hội Da liễu Hoa Kỳ 2024 và Hội Da liễu Việt Nam.
Bác sĩ Thùy có nhiều nghiên cứu công bố trong và ngoài nước về các bệnh da khó. tham gia báo cáo tại các hội nghị Da liễu tại Châu Âu, Đông Dương và các hội nghị Da liễu toàn quốc của Việt Nam.",Da liễu,"2020: Tốt nghiệp chuyên ngành Bác sỹ Đa khoa Đại học Y Hà Nội
2023: Hoàn thành chương trình Thạc sỹ - Bác sỹ nội trú với bằng Giỏi chuyên ngành Da liễu tại Đại học Y Hà Nội và bệnh viện Da liễu Trung Ương
2024: Clinical Fellowship tại Khoa Da liễu, Bệnh viện Mayo Clinic, Rochester, MN, Hoa Kỳ",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Phạm Vân Thúy,Tiến sĩ,"PGS.TS.BS Phạm Vân Thúy có nhiều năm kinh nghiệm trong lĩnh vực Dinh dưỡng Nhi và Nội tổng hợp. Đặc biệt, bà có thế mạnh trong việc khám tư vấn và điều trị dinh dưỡng cho trẻ em, người lớn, phụ nữ mang thai, cho con bú; phục hồi dinh dưỡng cho người bệnh và sau phẫu thuật…
Bác Sĩ Phạm Vân Thúy nhận học hàm Phó Giáo sư vào năm 2014. Bác sĩ nguyên là Bác sĩ Nhi khoa tại Đại học Y Nhi, Leningrad, Liên Bang Nga; Tiến sĩ Nhi khoa tại Viện nghiên cứu Nhi khoa thuộc Viện Hàn lâm Y học Nga; Trưởng Khoa Khám tư vấn Dinh dưỡng, Viện Dinh dưỡng Việt Nam; Trưởng Khoa Dinh dưỡng, Bệnh viện Nhiệt đới Trung Ương và là Bác sĩ Dinh dưỡng, Bệnh viện Việt Pháp Hà Nội.
Phó Giáo sư Phạm Vân Thúy từng Tham gia triển khai các chương trình hợp tác, nghiên cứu với các Tổ chức quốc tế như GAIN, UNICEF, WHO, FAO, Save the Children, UNDP,… trong các hoạt động can thiệp dinh dưỡng tại cộng đồng. Đồng thời, Phó giáo sư cũng tham gia giảng dạy và đào tạo về dinh dưỡng cộng đồng, dinh dưỡng lâm sàng tại các cơ sở y tế, các trường đại học và các ban ngành và đã từng hướng dẫn thành công 7 Thạc sĩ chuyên khoa 1 và Tiến sĩ chuyên khoa 2. Ngoài ra, PGS Thúy còn là Báo cáo viên tại nhiều Hội nghị chuyên ngành trong nước và Quốc tế.
Phó Giáo sư Thúy là Chủ biên và tham gia viết 6 đầu sách chuyên khoa, sách giáo khoa và là chủ nhiệm 11 đề tài Nghiên cứu Khoa học cấp Nhà nước và Cơ sở. PGS Thúy là chủ sở hữu của 70 bài báo danh tiếng đã được đăng trên các tạp chí có chất lượng trong nước và Quốc tế
PGS Vân Thúy là thành viên danh dự của Ban chấp hành Hội Nuôi dưỡng đường tĩnh mạch và đường tiêu hóa Việt Nam (VietSPEN) cũng như thành viên ưu tú của Hội Dinh dưỡng Việt Nam. PGS cũng được nhận nhiều Bằng khen của Bộ trưởng Bộ Y tế và nhận danh hiệu Chiến sĩ thi đua nhiều năm liên tục.",Dinh dưỡng,"1981 - 1987: Bác sĩ Nhi khoa tại Đại học Y Nhi, Leningrad, Liên Bang Nga
1992 - 1997: Tiến sĩ Nhi khoa tại Viện nghiên cứu Nhi khoa thuộc Viện Hàn Lâm Y học Nga
2014: Phó Giáo sư Y học",Bệnh viện ĐKQT Vinmec Times City,690000,690000
Vũ Hoàng Oanh,"Thạc sĩ, Bác sĩ nội trú","Bác sĩ Vũ Hoàng Oanh tốt nghiệp Bác sĩ đa khoa tại trường Đại học Y Hà Nội năm 2019, hoàn thành chương trình và thạc sĩ, bác sĩ nội trú dinh dưỡng loại giỏi tại Đại học Y Hà Nội.
Bác sĩ Oanh tốt nghiệp chương trình Đào tạo Y khoa chuyên ngành (DFMS) về Nội tiết - Đái tháo đường - Dinh dưỡng tại Đại học Paris Cité, Pháp. BS đã được đào tạo chuyên sâu về thừa cân béo phì, tốt nghiệp bằng DU về Điều trị béo phì tại Đại học Paris Sorbonne và hoàn thành nghiên cứu lâm sàng về béo phì tại bệnh viện Pitié - Salpêtrière, Pháp.
Với mong muốn đem lại sức khỏe toàn diện cho người bệnh thông qua việc cải thiện tình trạng dinh dưỡng, song song với việc khám chữa bệnh, Bs Oanh tham gia nghiên cứu khoa học, đặc biệt là thừa cân - béo phì, tham gia báo cáo hội nghị quốc tế đồng thời là tác giả, đồng tác giả nhiều sách và bài báo khoa học trong nước và quốc tế. Lĩnh vực nghiên cứu: Béo phì, suy dinh dưỡng, chán ăn…
Bác sĩ Oanh hiện đang là BS dinh dưỡng tại khoa Nội chung - Bệnh viện ĐKQT Vinmec Times City và là giảng viên thỉnh giảng tại Viện Khoa học Sức khỏe - Đại học VinUni.",Dinh dưỡng,"2013 - 2019: Tốt nghiệp loại giỏi Bác sĩ đa khoa - Đại học Y Hà Nội 
2021 - 2022: Bác sĩ nội trú nước ngoài DFMS chuyên ngành Nội tiết - Dinh dưỡng - Đái tháo đường - Đại học Paris Cité, Pháp
2022: Bằng DU “Điều trị béo phì” - Đại học Paris Sorbonne, Pháp
2023: Tốt nghiệp loại giỏi bác sĩ nội trú Dinh dưỡng - Đại học Y Hà Nội 2023",Bệnh viện ĐKQT Vinmec Times City,690000,690000
